liczba_izb,nr_kondygnacji,calkowita_powierzchnia,wsp_x,wsp_y,adres_miejscowosc,adres_ulica,adres_numer,bud_id,dzialka_id,dzialka_mpzp,dzialka_sposob_uzytkowania,n_udzial_str,is_market_transaction,data_dokumentu,powierzchnia_final,osiedle,ma_pomieszczenia_przynalezne,rok,rok_miesiac_float,cena_za_m2,odl_do_centrum,metry_na_izbe,wibor_3m,srednie_wynagrodzenie,is_pierwotny,is_uzytkowanie_wieczyste,sprzedajacy_firma,sprzedajacy_jst,sprzedajacy_osoba,is_wielorodzinny,osiedle_cat
3.0,10.0,39.599999999999994,5806550.125,6424118.46,Poznań,ul. Górczyńska,38,,,,,1/1,True,2011-01-31,37.3,Górczyn,1,2011,2011.0,7576.940420744844,3.74858014854773,12.433333333333332,3.95,3311.0,0,0,1,0,0,0,5
3.0,1.0,40.78,5806743.38,6424779.751,Poznań,ul. Hetmańska,54,,,,,1/1,True,2011-01-18,37.5,Łazarz,1,2011,2011.0,8142.917548878336,3.0936788865837723,12.5,3.95,3311.0,0,0,1,0,0,0,38
2.0,1.0,39.910000000000004,5806687.269,6423358.867,Poznań,ul. Raszyńska,21,,,,,1/1,True,2011-02-11,33.71,Grunwald Południe,1,2011,2011.0833333333333,11082.112110661596,4.345891245907371,16.855,4.0,3311.0,0,0,1,0,0,0,3
3.0,2.0,55.5,5813266.275,6428612.392,Poznań,ul. Rubież,14,,,,,1/1,True,2011-01-21,52.9,Naramowice,1,2011,2011.0,10040.273342227465,4.879993196746267,17.633333333333333,3.95,3311.0,0,0,1,0,0,0,15
4.0,7.0,42.3,5809132.461,6426705.017,Poznań,ul. Karola Libelta,5,,,,,1/1,True,2011-02-18,39.9,Stare Miasto,1,2011,2011.0833333333333,8792.944081735526,0.7978109708307024,9.975,4.0,3311.0,0,0,1,0,0,0,26
1.0,6.0,39.2,5808368.855,6427031.205,Poznań,ul. Ogrodowa,17,,,,,1/1,True,2011-01-17,25.2,Stare Miasto,1,2011,2011.0,12117.436828688,0.3175598338177092,25.2,3.95,3311.0,0,0,1,0,0,0,26
1.0,3.0,46.2,5808368.855,6427031.205,Poznań,ul. Ogrodowa,17,,,,,1/1,True,2011-02-08,32.2,Stare Miasto,1,2011,2011.0833333333333,10845.162009024643,0.3175598338177092,32.2,4.0,3311.0,0,0,1,0,0,0,26
4.0,1.0,75.6,5811245.268,6425016.828,Poznań,ul. Wojska Polskiego,68b3,,,,,1/1,True,2011-01-28,65.0,Sołacz,1,2011,2011.0,7908.858646337951,3.49779614672184,16.25,3.95,3311.0,0,0,1,0,0,0,25
4.0,3.0,112.9,5808154.651,6424955.644,Poznań,ul. Artura Grottgera,6A,,,,,1/1,True,2011-02-15,102.4,Łazarz,1,2011,2011.0833333333333,7217.13610983921,2.3560092343461894,25.6,4.0,3311.0,0,0,1,0,0,0,38
2.0,3.0,32.0,5814890.151,6426697.886,Poznań,os. Stefana Batorego,59f,,,,,1/1,True,2011-01-05,32.0,Piątkowo,0,2011,2011.0,11166.733673245724,6.343020335584885,16.0,3.95,3311.0,0,0,1,0,0,0,21
3.0,3.0,56.199999999999996,5798044.758,6429775.422,Poznań,ul. Aleksandra Gabszewicza,44,,,,,1/1,True,2011-01-20,48.9,Głuszyna,1,2011,2011.0,8968.263518948044,10.821638692495899,16.3,3.95,3311.0,0,0,1,0,0,0,6
3.0,3.0,67.77,5815505.11,6427670.383,Poznań,ul. Umultowska,102D,,,,,1/1,True,2011-01-03,67.77,Umultowo,0,2011,2011.0,9586.8506457366,6.943064078976071,22.59,3.95,3311.0,0,0,1,0,0,0,31
3.0,1.0,55.2,5807318.77,6422975.413,Poznań,ul. Piotra Ściegiennego,111,,,,,1/1,True,2011-02-16,55.2,Grunwald Południe,0,2011,2011.0833333333333,9121.706030846308,4.478071337420156,18.400000000000002,4.0,3311.0,0,0,1,0,0,0,3
4.0,1.0,62.7,5815222.071,6425660.185,Poznań,os. Jana III Sobieskiego,16,,,,,1/1,True,2011-01-18,62.7,Piątkowo Północ,0,2011,2011.0,5440.079040467685,6.841799042415169,15.675,3.95,3311.0,0,0,1,0,0,0,22
4.0,0.0,93.69999999999999,5812976.859,6423928.92,Poznań,ul. Wergiliusza,43a,,,,,1/1,True,2011-02-02,76.1,,1,2011,2011.0833333333333,8249.322785252843,5.530039828236821,19.025,4.0,3311.0,0,0,1,0,0,0,-1
3.0,0.0,45.3,5814097.728,6423795.132,Poznań,ul. Zakopiańska,122,,,,,1/1,True,2011-01-05,45.3,Podolany,0,2011,2011.0,12549.409707039145,6.528566256498655,15.1,3.95,3311.0,0,0,1,0,0,0,23
